12,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,12
13,14,14,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,10,9,9,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,13
13,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,12,12,13,12,12,12,11,11,12,11,11,11,10,10,11,10,10,10,9,10,10,9,9,9,8,9,9,8,8,8,7,8,8,7,7,8,8,7,8,8,8,9,9,8,9,9,9,10,10,9,10,10,10,11,10,10,11,11,11,12,11,11,12,12,12,13,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,13
13,14,14,14,14,14,15,14,14,14,14,13,14,13,13,13,13,12,13,12,12,12,12,11,12,11,11,11,11,10,11,10,10,10,10,9,10,9,9,9,9,8,9,8,8,8,8,7,8,7,7,8,7,8,8,8,8,9,8,9,9,9,9,10,9,10,10,10,10,11,10,11,11,11,11,12,11,12,12,12,12,13,12,13,13,13,13,14,13,14,14,14,14,15,14,14,14,14,14,13
13,14,14,14,14,14,15,14,15,14,14,14,14,13,14,13,13,13,13,12,13,12,12,12,12,11,12,11,11,11,11,10,11,10,10,10,10,10,10,9,10,9,9,9,9,8,9,8,8,8,8,8,8,9,8,9,9,9,9,10,9,10,10,10,10,10,10,11,10,11,11,11,11,12,11,12,12,12,12,13,12,13,13,13,13,14,13,14,14,14,14,15,14,15,14,14,14,14,14,13
13,14,14,14,14,14,15,15,15,15,14,14,15,14,14,14,13,13,14,13,13,13,12,12,13,12,12,12,11,11,12,11,11,11,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,11,11,11,12,11,11,12,12,12,13,12,12,13,13,13,14,13,13,14,14,14,15,14,14,15,15,15,15,14,14,14,14,14,13
13,14,14,15,15,15,14,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,14,15,15,15,14,14,13
13,14,14,14,14,15,15,16,16,16,16,16,16,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,16,16,16,16,16,16,15,15,14,14,14,14,13
13,13,14,14,15,15,15,16,16,16,16,16,16,16,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,16,16,16,16,16,16,16,15,15,15,14,14,13,13
12,13,14,14,14,15,15,16,16,16,16,17,16,17,16,15,16,15,16,15,14,15,14,15,14,13,14,13,13,13,12,13,12,12,12,11,12,11,11,11,10,11,10,10,10,9,9,9,9,9,9,9,9,9,9,10,10,10,11,10,11,11,11,12,11,12,12,12,13,12,13,13,13,14,13,14,15,14,15,14,15,16,15,16,15,16,17,16,17,16,16,16,16,15,15,14,14,14,13,12
