8,8,9,9,8,9,8,9,8,8,8,8,8,8,7,8,7,8,7,7,7,7,6,7,6,7,7,6,7,6,7,6,6,6,6,6,6,5,6,5,5,5,5,5,5,4,5,4,5,4,4,5,4,5,4,5,5,5,5,5,5,6,5,6,6,6,6,6,6,7,6,7,6,7,7,6,7,6,7,7,7,7,8,7,8,7,8,8,8,8,8,8,9,8,9,8,9,9,8,8
8,8,8,9,8,9,8,9,8,8,8,8,8,8,8,8,7,8,7,8,7,8,7,7,7,6,7,6,7,6,6,6,6,6,6,6,6,5,6,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,5,6,5,6,6,6,6,6,6,6,6,7,6,7,6,7,7,7,8,7,8,7,8,7,8,8,8,8,8,8,8,8,9,8,9,8,9,8,8,8
9,8,8,9,9,9,8,9,9,8,9,8,8,8,8,8,8,8,7,8,7,7,8,7,7,7,7,6,7,7,6,7,6,6,6,6,6,6,6,5,6,5,5,6,5,5,5,5,4,5,5,4,5,5,5,5,6,5,5,6,5,6,6,6,6,6,6,6,7,6,7,7,6,7,7,7,7,8,7,7,8,7,8,8,8,8,8,8,8,9,8,9,9,8,9,9,9,8,8,9
9,9,9,8,9,10,9,9,9,9,9,9,8,9,9,8,8,8,8,8,8,7,8,8,7,7,8,7,7,7,6,7,7,6,6,7,6,6,6,5,6,6,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,5,6,6,5,6,6,6,7,6,6,7,7,6,7,7,7,8,7,7,8,8,7,8,8,8,8,8,8,9,9,8,9,9,9,9,9,9,10,9,8,9,9,9
8,8,9,9,8,9,10,10,9,9,9,9,8,8,9,9,9,8,8,8,8,7,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,6,6,5,5,5,6,5,5,5,5,5,5,6,5,5,5,6,6,6,6,7,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,7,8,8,8,8,9,9,9,8,8,9,9,9,9,10,10,9,8,9,9,8,8
9,9,9,10,9,8,9,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,9,8,9,10,9,9,9
8,8,8,9,10,9,8,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,8,9,10,9,8,8,8
9,9,9,9,10,10,9,10,10,10,10,10,10,9,9,9,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,5,6,6,6,5,5,5,5,6,6,6,5,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,9,9,9,10,10,10,10,10,10,9,10,10,9,9,9,9
8,8,9,9,9,10,9,10,10,10,10,10,10,10,10,9,10,10,9,9,9,9,9,9,8,9,8,8,8,7,8,8,7,7,8,7,7,7,7,7,7,6,6,6,6,6,5,6,6,5,5,6,6,5,6,6,6,6,6,7,7,7,7,7,7,8,7,7,8,8,7,8,8,8,9,8,9,9,9,9,9,9,10,10,9,10,10,10,10,10,10,10,10,9,10,9,9,9,8,8
8,8,8,9,9,10,9,10,10,10,10,11,11,10,11,10,10,10,10,9,10,9,9,9,9,9,9,8,9,8,8,8,8,7,8,7,7,7,7,6,7,6,7,6,6,6,6,5,6,5,5,6,5,6,6,6,6,7,6,7,6,7,7,7,7,8,7,8,8,8,8,9,8,9,9,9,9,9,9,10,9,10,10,10,10,11,10,11,11,10,10,10,10,9,10,9,9,8,8,8
